x,y,PROVINCE_CODE,MEAN_TEMPERATURE,TOTAL_RAIN,SNOW_ON_GROUND,HEATING_DEGREE_DAYS,DIRECTION_MAX_GUST_FLAG,LOCAL_DATE,MIN_TEMPERATURE,COOLING_DEGREE_DAYS_FLAG,TOTAL_SNOW_FLAG,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,HEATING_DEGREE_DAYS_FLAG,ID,MIN_REL_HUMIDITY,LOCAL_DAY,MAX_TEMPERATURE,TOTAL_SNOW,COOLING_DEGREE_DAYS,STATION_NAME,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY,LOCAL_YEAR,SNOW_ON_GROUND_FLAG,LOCAL_MONTH,SPEED_MAX_GUST,MAX_REL_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,MIN_REL_HUMIDITY_FLAG
-70.785,46.205,QC,17.1,,,0.9,,1994-08-18 00:00:00,12.6,,M,,0,,7028754.1994.8.18,,18,21.6,,0,BEAUCEVILLE,,0,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,17.8,,,0.2,,1994-08-19 00:00:00,12.4,,M,,0,,7028754.1994.8.19,,19,23.1,,0,BEAUCEVILLE,,0,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,11,,,7,,1994-08-22 00:00:00,5.5,,M,,0,,7028754.1994.8.22,,22,16.4,,0,BEAUCEVILLE,,0,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,10.7,,,7.3,,1994-08-23 00:00:00,2.6,,M,,0,,7028754.1994.8.23,,23,18.7,,0,BEAUCEVILLE,,0,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,13.6,,,4.4,,1994-08-24 00:00:00,4.5,,M,,0,,7028754.1994.8.24,,24,22.6,,0,BEAUCEVILLE,,0,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,14.9,,,3.1,,1994-08-25 00:00:00,6.3,,M,,0,,7028754.1994.8.25,,25,23.4,,0,BEAUCEVILLE,,2,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,20.9,,,0,,1994-08-26 00:00:00,15.2,,M,,0,,7028754.1994.8.26,,26,26.6,,2.9,BEAUCEVILLE,,0,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,17,,,1,,1994-08-27 00:00:00,10.9,,M,,0,,7028754.1994.8.27,,27,23,,0,BEAUCEVILLE,,2.4,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,15.4,,,2.6,,1994-08-28 00:00:00,8.7,,M,,0,,7028754.1994.8.28,,28,22,,0,BEAUCEVILLE,,,,,M,M,,1994,,8,0,,7028754,
-70.785,46.205,QC,13.9,,,4.1,,1994-08-29 00:00:00,10.4,,M,,24,,7028754.1994.8.29,,29,17.4,,0,BEAUCEVILLE,,0,,,M,,,1994,,8,41,,7028754,
-70.785,46.205,QC,12.6,,,5.4,,1994-08-30 00:00:00,8.5,,M,,28,,7028754.1994.8.30,,30,16.6,,0,BEAUCEVILLE,,0,,,M,,,1994,,8,44,,7028754,
-70.785,46.205,QC,9.9,,,8.1,,1994-08-31 00:00:00,5.4,,M,,0,,7028754.1994.8.31,,31,14.3,,0,BEAUCEVILLE,,0,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,10.1,,,7.9,,1994-09-01 00:00:00,5.4,,M,,0,,7028754.1994.9.1,,1,14.7,,0,BEAUCEVILLE,,0,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,10.7,,,7.3,,1994-09-02 00:00:00,5.1,,M,,31,,7028754.1994.9.2,,2,16.2,,0,BEAUCEVILLE,,0.2,,,M,,,1994,,9,35,,7028754,
-70.785,46.205,QC,8.9,,,9.1,,1994-09-03 00:00:00,2.3,,M,,0,,7028754.1994.9.3,,3,15.4,,0,BEAUCEVILLE,,0,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,9.3,,,8.7,,1994-09-04 00:00:00,0.5,,M,,0,,7028754.1994.9.4,,4,18,,0,BEAUCEVILLE,,0,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,9.7,,,8.3,,1994-09-05 00:00:00,4.7,,M,,1,,7028754.1994.9.5,,5,14.7,,0,BEAUCEVILLE,,4.8,,,M,,,1994,,9,48,,7028754,
-70.785,46.205,QC,10.5,,,7.5,,1994-09-06 00:00:00,9.4,,M,,0,,7028754.1994.9.6,,6,11.6,,0,BEAUCEVILLE,,2.2,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,13.8,,,4.2,,1994-09-07 00:00:00,10.9,,M,,0,,7028754.1994.9.7,,7,16.6,,0,BEAUCEVILLE,,5.4,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,13.8,,,4.2,,1994-09-08 00:00:00,8.8,,M,,0,,7028754.1994.9.8,,8,18.8,,0,BEAUCEVILLE,,9.6,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,13.2,,,4.8,,1994-09-09 00:00:00,8.3,,M,,0,,7028754.1994.9.9,,9,18.1,,0,BEAUCEVILLE,,0.6,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,11.6,,,6.4,,1994-09-10 00:00:00,8.6,,M,,28,,7028754.1994.9.10,,10,14.5,,0,BEAUCEVILLE,,7.2,,,M,,,1994,,9,32,,7028754,
-70.785,46.205,QC,11.8,,,6.2,,1994-09-11 00:00:00,6.8,,M,,33,,7028754.1994.9.11,,11,16.7,,0,BEAUCEVILLE,,0,,,M,,,1994,,9,32,,7028754,
-70.785,46.205,QC,12.8,,,5.2,,1994-09-12 00:00:00,8.1,,M,,0,,7028754.1994.9.12,,12,17.5,,0,BEAUCEVILLE,,1.8,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,12,,,6,,1994-09-13 00:00:00,7.8,,M,,0,,7028754.1994.9.13,,13,16.1,,0,BEAUCEVILLE,,1,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,10.6,,,7.4,,1994-09-14 00:00:00,4.9,,M,,0,,7028754.1994.9.14,,14,16.3,,0,BEAUCEVILLE,,0,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,11.4,,,6.6,,1994-09-15 00:00:00,2.6,,M,,0,,7028754.1994.9.15,,15,20.2,,0,BEAUCEVILLE,,0,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,6.5,,,11.5,,1994-09-18 00:00:00,1.5,,M,,0,,7028754.1994.9.18,,18,11.4,,0,BEAUCEVILLE,,0.2,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,7.5,,,10.5,,1994-09-19 00:00:00,3.1,,M,,27,,7028754.1994.9.19,,19,11.9,,0,BEAUCEVILLE,,0,,,M,,,1994,,9,37,,7028754,
-70.785,46.205,QC,11.6,,,6.4,,1994-09-20 00:00:00,1.9,,M,,19,,7028754.1994.9.20,,20,21.3,,0,BEAUCEVILLE,,0.2,,,M,,,1994,,9,41,,7028754,
-70.785,46.205,QC,11.8,,,6.2,,1994-09-21 00:00:00,5,,M,,0,,7028754.1994.9.21,,21,18.6,,0,BEAUCEVILLE,,0,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,11.5,,,6.5,,1994-09-22 00:00:00,2.2,,M,,0,,7028754.1994.9.22,,22,20.8,,0,BEAUCEVILLE,,0,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,11.3,,,6.7,,1994-09-23 00:00:00,5.8,,M,,0,,7028754.1994.9.23,,23,16.7,,0,BEAUCEVILLE,,0.6,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,14.3,,,3.7,,1994-09-24 00:00:00,12.2,,M,,0,,7028754.1994.9.24,,24,16.4,,0,BEAUCEVILLE,,2.6,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,14.4,,,3.6,,1994-09-25 00:00:00,12.3,,M,,0,,7028754.1994.9.25,,25,16.5,,0,BEAUCEVILLE,,0.4,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,16.4,,,1.6,,1994-09-26 00:00:00,11.7,,M,,0,,7028754.1994.9.26,,26,21.1,,0,BEAUCEVILLE,,0,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,15.6,,,2.4,,1994-09-27 00:00:00,10.4,,M,,13,,7028754.1994.9.27,,27,20.7,,0,BEAUCEVILLE,,0.4,,,M,,,1994,,9,35,,7028754,
-70.785,46.205,QC,15.2,,,2.8,,1994-09-28 00:00:00,12,,M,,0,,7028754.1994.9.28,,28,18.4,,0,BEAUCEVILLE,,9,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,11.5,,,6.5,,1994-09-29 00:00:00,7.9,,M,,0,,7028754.1994.9.29,,29,15,,0,BEAUCEVILLE,,2.8,,,M,,,1994,,9,0,,7028754,
-70.785,46.205,QC,7.2,,,10.8,,1994-09-30 00:00:00,3.6,,M,,27,,7028754.1994.9.30,,30,10.7,,0,BEAUCEVILLE,,1.6,,,M,,,1994,,9,41,,7028754,
-70.785,46.205,QC,6.3,,,11.7,,1994-10-01 00:00:00,1.5,,M,,30,,7028754.1994.10.1,,1,11,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,35,,7028754,
-70.785,46.205,QC,3.9,,,14.1,,1994-10-02 00:00:00,-1.3,,M,,28,,7028754.1994.10.2,,2,9.1,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,37,,7028754,
-70.785,46.205,QC,7.3,,,10.7,,1994-10-03 00:00:00,3.2,,M,,25,,7028754.1994.10.3,,3,11.4,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,33,,7028754,
-70.785,46.205,QC,8.8,,,9.2,,1994-10-04 00:00:00,6.4,,M,,29,,7028754.1994.10.4,,4,11.2,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,32,,7028754,
-70.785,46.205,QC,6.4,,,11.6,,1994-10-05 00:00:00,4,,M,,28,,7028754.1994.10.5,,5,8.8,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,33,,7028754,
-70.785,46.205,QC,5.8,,,12.2,,1994-10-06 00:00:00,1.3,,M,,0,,7028754.1994.10.6,,6,10.3,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,0,,7028754,
-70.785,46.205,QC,11.1,,,6.9,,1994-10-07 00:00:00,4.5,,M,,0,,7028754.1994.10.7,,7,17.6,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,0,,7028754,
-70.785,46.205,QC,13,,,5,,1994-10-08 00:00:00,2.7,,M,,0,,7028754.1994.10.8,,8,23.3,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,0,,7028754,
-70.785,46.205,QC,14.1,,,3.9,,1994-10-09 00:00:00,4.7,,M,,25,,7028754.1994.10.9,,9,23.4,,0,BEAUCEVILLE,,2.6,,,M,,,1994,,10,52,,7028754,
-70.785,46.205,QC,6.8,,,11.2,,1994-10-10 00:00:00,3.3,,M,,27,,7028754.1994.10.10,,10,10.2,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,35,,7028754,
-70.785,46.205,QC,2.1,,,15.9,,1994-10-11 00:00:00,-2.3,,M,,29,,7028754.1994.10.11,,11,6.5,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,35,,7028754,
-70.785,46.205,QC,4.6,,,13.4,,1994-10-12 00:00:00,-4.3,,M,,0,,7028754.1994.10.12,,12,13.4,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,0,,7028754,
-70.785,46.205,QC,8.3,,,9.7,,1994-10-13 00:00:00,-1.2,,M,,0,,7028754.1994.10.13,,13,17.7,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,0,,7028754,
-70.785,46.205,QC,3,,,15,,1994-10-14 00:00:00,-4.1,,M,,1,,7028754.1994.10.14,,14,10,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,33,,7028754,
-70.785,46.205,QC,1,,,17,,1994-10-15 00:00:00,-7,,M,,0,,7028754.1994.10.15,,15,8.9,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,0,,7028754,
-70.785,46.205,QC,2.6,,,15.4,,1994-10-16 00:00:00,-5.9,,M,,0,,7028754.1994.10.16,,16,11.1,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,0,,7028754,
-70.785,46.205,QC,3.5,,,14.5,,1994-10-17 00:00:00,-5.1,,M,,0,,7028754.1994.10.17,,17,12,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,0,,7028754,
-70.785,46.205,QC,3.1,,,14.9,,1994-10-18 00:00:00,-3.2,,M,,0,,7028754.1994.10.18,,18,9.3,,0,BEAUCEVILLE,,0.8,,,M,,,1994,,10,0,,7028754,
-70.785,46.205,QC,11.2,,,6.8,,1994-10-19 00:00:00,4.7,,M,,0,,7028754.1994.10.19,,19,17.6,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,0,,7028754,
-70.785,46.205,QC,10.3,,,7.7,,1994-10-20 00:00:00,8.8,,M,,0,,7028754.1994.10.20,,20,11.8,,0,BEAUCEVILLE,,5.4,,,M,,,1994,,10,0,,7028754,
-70.785,46.205,QC,12.2,,,5.8,,1994-10-21 00:00:00,10.9,,M,,0,,7028754.1994.10.21,,21,13.5,,0,BEAUCEVILLE,,12,,,M,,,1994,,10,0,,7028754,
-70.785,46.205,QC,12,,,6,,1994-10-22 00:00:00,9.4,,M,,0,,7028754.1994.10.22,,22,14.6,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,0,,7028754,
-70.785,46.205,QC,9.9,,,8.1,,1994-10-23 00:00:00,7.9,,M,,0,,7028754.1994.10.23,,23,11.8,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,0,,7028754,
-70.785,46.205,QC,8.4,,,9.6,,1994-10-24 00:00:00,2.8,,M,,23,,7028754.1994.10.24,,24,13.9,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,32,,7028754,
-70.785,46.205,QC,6.1,,,11.9,,1994-10-25 00:00:00,-0.1,,M,,25,,7028754.1994.10.25,,25,12.2,,0,BEAUCEVILLE,,0.2,,,M,,,1994,,10,33,,7028754,
-70.785,46.205,QC,4,,,14,,1994-10-26 00:00:00,-1.7,,M,,0,,7028754.1994.10.26,,26,9.6,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,0,,7028754,
-70.785,46.205,QC,2.9,,,15.1,,1994-10-27 00:00:00,-2.2,,M,,0,,7028754.1994.10.27,,27,8,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,0,,7028754,
-70.785,46.205,QC,6.7,,,11.3,,1994-10-28 00:00:00,0.5,,M,,24,,7028754.1994.10.28,,28,12.9,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,32,,7028754,
-70.785,46.205,QC,7.8,,,10.2,,1994-10-29 00:00:00,0.2,,M,,30,,7028754.1994.10.29,,29,15.3,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,41,,7028754,
-70.785,46.205,QC,7.7,,,10.3,,1994-10-30 00:00:00,1,,M,,28,,7028754.1994.10.30,,30,14.3,,0,BEAUCEVILLE,,0,,,M,,,1994,,10,39,,7028754,
-70.785,46.205,QC,,,,,M,1994-10-31 00:00:00,1,M,,M,,M,7028754.1994.10.31,,31,,,,BEAUCEVILLE,E,,M,M,M,M,,1994,,10,,,7028754,
-70.785,46.205,QC,6.4,,,11.6,,1994-11-01 00:00:00,5.2,,M,,9,,7028754.1994.11.1,,1,7.6,,0,BEAUCEVILLE,,27.6,,,M,,,1994,,11,35,,7028754,
-70.785,46.205,QC,5.7,,,12.3,,1994-11-02 00:00:00,2.8,,M,,30,,7028754.1994.11.2,,2,8.6,,0,BEAUCEVILLE,,57,,,M,,,1994,,11,54,,7028754,
-70.785,46.205,QC,4.2,,,13.8,,1994-11-03 00:00:00,-1,,M,,30,,7028754.1994.11.3,,3,9.4,,0,BEAUCEVILLE,,0,,,M,,,1994,,11,43,,7028754,
-70.785,46.205,QC,5.1,,,12.9,,1994-11-04 00:00:00,-0.7,,M,,0,,7028754.1994.11.4,,4,10.8,,0,BEAUCEVILLE,,3.2,,,M,,,1994,,11,0,,7028754,
-70.785,46.205,QC,9,,,9,,1994-11-05 00:00:00,1.4,,M,,31,,7028754.1994.11.5,,5,16.6,,0,BEAUCEVILLE,,1.2,,,M,,,1994,,11,33,,7028754,
-70.785,46.205,QC,5.8,,,12.2,,1994-11-06 00:00:00,2,,M,,25,,7028754.1994.11.6,,6,9.6,,0,BEAUCEVILLE,,6.6,,,M,,,1994,,11,57,,7028754,
-70.785,46.205,QC,3.3,,,14.7,,1994-11-07 00:00:00,1.2,,M,,28,,7028754.1994.11.7,,7,5.3,,0,BEAUCEVILLE,,2.1,,,M,,,1994,,11,65,,7028754,
-70.785,46.205,QC,3.8,,,14.2,,1994-11-08 00:00:00,-1.1,,M,,0,,7028754.1994.11.8,,8,8.6,,0,BEAUCEVILLE,,0,,,M,,,1994,,11,0,,7028754,
-70.785,46.205,QC,5.2,,,12.8,,1994-11-09 00:00:00,1.5,,M,,30,,7028754.1994.11.9,,9,8.9,,0,BEAUCEVILLE,,0.4,,,M,,,1994,,11,35,,7028754,
-70.785,46.205,QC,0.6,,,17.4,,1994-11-10 00:00:00,-2.2,,M,,31,,7028754.1994.11.10,,10,3.3,,0,BEAUCEVILLE,,0,,,M,,,1994,,11,48,,7028754,
-70.785,46.205,QC,0.2,,,17.8,,1994-11-11 00:00:00,-2,,M,,29,,7028754.1994.11.11,,11,2.3,,0,BEAUCEVILLE,,0,,,M,,,1994,,11,44,,7028754,
-70.785,46.205,QC,0.9,,,17.1,,1994-11-12 00:00:00,-2,,M,,0,,7028754.1994.11.12,,12,3.7,,0,BEAUCEVILLE,,0,,,M,,,1994,,11,0,,7028754,
-70.785,46.205,QC,0.5,,,17.5,,1994-11-13 00:00:00,-5.4,,M,,0,,7028754.1994.11.13,,13,6.3,,0,BEAUCEVILLE,,0,,,M,,,1994,,11,0,,7028754,
-70.785,46.205,QC,4.4,,,13.6,,1994-11-14 00:00:00,-4.2,,M,,0,,7028754.1994.11.14,,14,12.9,,0,BEAUCEVILLE,,0.2,,,M,,,1994,,11,0,,7028754,
-70.785,46.205,QC,6.5,,,11.5,,1994-11-15 00:00:00,0,,M,,26,,7028754.1994.11.15,,15,13,,0,BEAUCEVILLE,,0.6,,,M,,,1994,,11,39,,7028754,
-70.785,46.205,QC,2.3,,,15.7,,1994-11-16 00:00:00,-3.2,,M,,0,,7028754.1994.11.16,,16,7.7,,0,BEAUCEVILLE,,0,,,M,,,1994,,11,0,,7028754,
-70.785,46.205,QC,1.1,,,16.9,,1994-11-17 00:00:00,-7.1,,M,,0,,7028754.1994.11.17,,17,9.3,,0,BEAUCEVILLE,,0,,,M,,,1994,,11,0,,7028754,
-70.785,46.205,QC,4.2,,,13.8,,1994-11-18 00:00:00,-6.5,,M,,26,,7028754.1994.11.18,,18,14.9,,0,BEAUCEVILLE,,2.4,,,M,,,1994,,11,32,,7028754,
-70.785,46.205,QC,-1.6,,,19.6,,1994-11-20 00:00:00,-6.2,,M,,29,,7028754.1994.11.20,,20,3.1,,0,BEAUCEVILLE,,0,,,M,,,1994,,11,39,,7028754,
-70.785,46.205,QC,0.5,,,17.5,,1994-11-21 00:00:00,-7.2,,M,,12,,7028754.1994.11.21,,21,8.1,,0,BEAUCEVILLE,,7,,,M,,,1994,,11,35,,7028754,
-70.785,46.205,QC,1.8,,,16.2,,1994-11-22 00:00:00,-4.6,,M,,31,,7028754.1994.11.22,,22,8.2,,0,BEAUCEVILLE,,1.8,,,M,,,1994,,11,57,,7028754,
-70.785,46.205,QC,-6.7,,,24.7,,1994-11-23 00:00:00,-10.1,,M,,30,,7028754.1994.11.23,,23,-3.2,,0,BEAUCEVILLE,,2.2,,,M,,,1994,,11,44,,7028754,
-70.785,46.205,QC,-7.2,,,25.2,,1994-11-24 00:00:00,-10.1,,M,,25,,7028754.1994.11.24,,24,-4.3,,0,BEAUCEVILLE,,0,,,M,,,1994,,11,44,,7028754,
-70.785,46.205,QC,-3,,,21,,1994-11-25 00:00:00,-7.9,,M,,29,,7028754.1994.11.25,,25,1.9,,0,BEAUCEVILLE,,2.8,,,M,,,1994,,11,41,,7028754,
-70.785,46.205,QC,-7.3,,,25.3,,1994-11-26 00:00:00,-11.1,,M,,0,,7028754.1994.11.26,,26,-3.4,,0,BEAUCEVILLE,,0,,,M,,,1994,,11,0,,7028754,
-70.785,46.205,QC,-9.6,,,27.6,,1994-11-27 00:00:00,-13.5,,M,,0,,7028754.1994.11.27,,27,-5.7,,0,BEAUCEVILLE,,0,,,M,,,1994,,11,0,,7028754,
-70.785,46.205,QC,-2.6,,,20.6,,1994-11-28 00:00:00,-9.6,,M,,16,,7028754.1994.11.28,,28,4.4,,0,BEAUCEVILLE,,29.2,,,M,,,1994,,11,46,,7028754,
-70.785,46.205,QC,1,,,17,,1994-11-29 00:00:00,-2,,M,,21,,7028754.1994.11.29,,29,3.9,,0,BEAUCEVILLE,,0.4,,,M,,,1994,,11,46,,7028754,
-70.785,46.205,QC,-7.6,,,25.6,,1994-11-30 00:00:00,-13.2,,M,,30,,7028754.1994.11.30,,30,-2,,0,BEAUCEVILLE,,0,,,M,,,1994,,11,32,,7028754,
-70.785,46.205,QC,-8.2,,,26.2,,1994-12-01 00:00:00,-14.8,,M,,24,,7028754.1994.12.1,,1,-1.5,,0,BEAUCEVILLE,,0,,,M,,,1994,,12,33,,7028754,
-70.785,46.205,QC,-1,,,19,,1994-12-02 00:00:00,-7.3,,M,,0,,7028754.1994.12.2,,2,5.3,,0,BEAUCEVILLE,,1.8,,,M,,,1994,,12,0,,7028754,
-70.785,46.205,QC,3.2,,,14.8,,1994-12-03 00:00:00,1.3,,M,,0,,7028754.1994.12.3,,3,5.1,,0,BEAUCEVILLE,,1.6,,,M,,,1994,,12,0,,7028754,
-70.785,46.205,QC,3.3,,,14.7,,1994-12-04 00:00:00,-1.7,,M,,29,,7028754.1994.12.4,,4,8.2,,0,BEAUCEVILLE,,2,,,M,,,1994,,12,32,,7028754,
-70.785,46.205,QC,1,,,17,,1994-12-05 00:00:00,-2.3,,M,,0,,7028754.1994.12.5,,5,4.2,,0,BEAUCEVILLE,,21.1,,,M,,,1994,,12,0,,7028754,
